"132-8 ","AT-3BE12TT-060 ","Single Jacket AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25, 60 Fibers ",,,"$0.62 "
"132-8 ","AT-3BE12TT-072 ","Single Jacket AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25, 72 Fibers ",,,"$0.73 "
"132-8 ","AT-3BE12TT-084 ","Single Jacket AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25, 84 Fibers ",,,"$0.84 "
"132-8 ","AT-3BE12TT-096 ","Single Jacket AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25, 96 Fibers ",,,"$0.94 "
"132-8 ","AT-3BE12TT-108 ","Single Jacket AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25, 108 Fibers ",,,"$1.06 "
"132-8 ","AT-3BE12TT-120 ","Single Jacket AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25, 120 Fibers ",,,"$1.18 "
"132-8 ","AT-3BE12TT-132 ","Single Jacket AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25, 132 Fibers ",,,"$1.30 "
"132-8 ","AT-3BE12TT-144 ","Single Jacket AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25, 144 Fibers ",,,"$1.39 "
"132-8 ","AT-3BE12TT-156 ","Single Jacket AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25, 156 Fibers ",,,"$1.50 "
"132-8 ","AT-3BE12TT-168 ","Single Jacket AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25, 168 Fibers ",,,"$1.62 "
"132-8 ","AT-3BE12TT-180 ","Single Jacket AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25, 180 Fibers ",,,"$1.74 "
"132-8 ","AT-3BE12TT-192 ","Single Jacket AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25, 192 Fibers ",,,"$1.85 "
"132-8 ","AT-3BE12TT-204 ","Single Jacket AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25, 204 Fibers ",,,"$1.97 "
"132-8 ","AT-3BE12TT-216 ","Single Jacket AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25, 216 Fibers ",,,"$2.08 "
"132-8 ","AT-3BE12TT-240 ","Single Jacket AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25, 240 Fibers ",,,"$2.31 "
"132-8 ","AT-3BE12TT-288 ","Single Jacket AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25, 288 Fibers ",,,"$2.78 "
"132-8 ","AT-34EH2S6-004 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 4 Fibers ",,,"$0.22 "
"132-8 ","AT-34EH2S6-006 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 6 Fibers ",,,"$0.23 "
"132-8 ","AT-34EH2S6-008 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 8 Fibers ",,,"$0.25 "
"132-8 ","AT-34EH2S6-012 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 12 Fibers ",,,"$0.28 "
"132-8 ","AT-34EH2S6-016 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 16 Fibers ",,,"$0.32 "
"132-8 ","AT-34EH2S6-018 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30,  18 Fibers ",,,"$0.33 "
"132-8 ","AT-34EH2S6-020 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 20 Fibers ",,,"$0.36 "
"132-8 ","AT-34EH2S6-024 ","Single Jacket/Single Armor AllWave Loose Tube Cable , PE Jacket and Dielectric Central Member, .40/.30,  24 Fibers ",,,"$0.38 "
"132-8 ","AT-34EH2S6-030 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 30 Fibers ",,,"$0.43 "
"132-8 ","AT-34EH2S6-036 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30,  36 Fibers ",,,"$0.48 "
"132-8 ","AT-34EH2TT-048 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 48 Fibers ",,,"$0.54 "
"132-8 ","AT-34EH2TT-060 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 60 Fibers ",,,"$0.65 "
"132-8 ","AT-34EH2TT-072 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 72 Fibers ",,,"$0.77 "
"132-8 ","AT-34EH2TT-084 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 84 Fibers ",,,"$0.89 "
"132-8 ","AT-34EH2TT-096 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30,  96 Fibers ",,,"$0.97 "
"132-8 ","AT-34EH2TT-108 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 108 Fibers ",,,"$1.09 "
"132-8 ","AT-34EH2TT-120 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30,  120 Fibers ",,,"$1.21 "
"132-8 ","AT-34EH2TT-132 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 132 Fibers ",,,"$1.33 "
"132-8 ","AT-34EH2TT-144 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30,  144 Fibers ",,,"$1.45 "
"132-8 ","AT-34EH2TT-156 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 156 Fibers ",,,"$1.57 "
"132-8 ","AT-34EH2TT-168 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 168 Fibers ",,,"$1.69 "
"132-8 ","AT-34EH2TT-180 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30,  180 Fibers ",,,"$1.78 "
"132-8 ","AT-34EH2TT-192 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 192 Fibers ",,,"$1.90 "
"132-8 ","AT-34EH2TT-204 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30,  204 Fibers ",,,"$2.02 "
"132-8 ","AT-34EH2TT-216 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 216 Fibers ",,,"$2.14 "
"132-8 ","AT-34EH2TT-240 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30,  240 Fibers ",,,"$2.37 "
"132-8 ","AT-34EH2TT-288 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 288 Fibers ",,,"$2.85 "
"132-8 ","AT-3BEH2S6-004 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25, 4 Fibers ",,,"$0.22 "
"132-8 ","AT-3BEH2S6-006 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25, 6 Fibers ",,,"$0.24 "
"132-8 ","AT-3BEH2S6-008 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25, 8 Fibers ",,,"$0.26 "
"132-8 ","AT-3BEH2S6-012 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25,  12 Fibers ",,,"$0.29 "
"132-8 ","AT-3BEH2S6-016 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25, 16 Fibers ",,,"$0.32 "
"132-8 ","AT-3BEH2S6-018 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25,  18 Fibers ",,,"$0.34 "
"132-8 ","AT-3BEH2S6-020 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25, 20 Fibers ",,,"$0.36 "
"132-8 ","AT-3BEH2S6-024 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25,  24 Fibers ",,,"$0.39 "
"132-8 ","AT-3BEH2S6-030 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25, 30 Fibers ",,,"$0.44 "
"132-8 ","AT-3BEH2S6-036 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25, 36 Fibers ",,,"$0.49 "
"132-8 ","AT-3BEH2TT-048 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25, 48 Fibers ",,,"$0.55 "
"132-8 ","AT-3BEH2TT-060 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25, 60 Fibers ",,,"$0.66 "
"132-8 ","AT-3BEH2TT-072 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25,  72 Fibers ",,,"$0.78 "
"132-8 ","AT-3BEH2TT-084 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25, 84 Fibers ",,,"$0.90 "
"132-8 ","AT-3BEH2TT-096 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25,  96 Fibers ",,,"$0.98 "
"132-8 ","AT-3BEH2TT-108 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25, 108 Fibers ",,,"$1.10 "
"132-8 ","AT-3BEH2TT-120 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25,  120 Fibers ",,,"$1.22 "
"132-8 ","AT-3BEH2TT-132 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25, 132 Fibers ",,,"$1.34 "
"132-8 ","AT-3BEH2TT-144 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25, 144 Fibers ",,,"$1.46 "
"132-8 ","AT-3BEH2TT-156 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25,  156 Fibers ",,,"$1.59 "
"132-8 ","AT-3BEH2TT-168 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25, 168 Fibers ",,,"$1.71 "
"132-8 ","AT-3BEH2TT-180 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25,  180 Fibers ",,,"$1.80 "
